,instrument,instrument_family,instrument_source,note,pitch,qualities,velocity
vocal_synthetic_003-083-100,37,10,2,15214,83,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
guitar_electronic_028-021-025,510,3,1,91080,21,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_synthetic_000-046-050,577,4,2,266384,46,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",50
guitar_acoustic_015-055-050,316,3,0,144265,55,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
keyboard_electronic_069-039-127,805,4,1,208365,39,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_electronic_098-027-050,905,4,1,126147,27,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",50
guitar_electronic_028-062-100,510,3,1,51564,62,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_010-041-100,219,3,0,34208,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-108-025,457,3,0,1705,108,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
bass_synthetic_134-086-025,914,0,2,232920,86,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",25
keyboard_electronic_098-082-050,905,4,1,301942,82,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_068-073-100,656,0,2,148656,73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
string_acoustic_014-038-050,100,8,0,48341,38,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
brass_acoustic_046-089-100,414,1,0,69148,89,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",100
guitar_acoustic_021-099-025,457,3,0,14612,99,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
organ_electronic_057-072-127,701,6,1,217907,72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_007-015-127,123,6,1,148642,15,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
bass_synthetic_098-095-100,803,0,2,212341,95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
vocal_synthetic_003-035-100,37,10,2,10435,35,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",100
vocal_acoustic_000-057-075,46,10,0,45221,57,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
organ_electronic_104-070-100,921,6,1,304839,70,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_098-061-050,905,4,1,295346,61,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
string_acoustic_057-081-025,450,8,0,109760,81,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",25
bass_synthetic_135-028-075,927,0,2,232164,28,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_028-053-075,440,6,1,156272,53,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_028-034-100,440,6,1,298571,34,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_015-038-100,316,3,0,69356,38,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
organ_electronic_028-037-127,440,6,1,137044,37,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_021-021-127,457,3,0,120188,21,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_021-022-100,457,3,0,142909,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
flute_synthetic_000-096-075,82,2,2,41475,96,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_028-029-025,440,6,1,272592,29,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_134-064-075,914,0,2,188350,64,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",75
guitar_acoustic_021-033-025,457,3,0,168274,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_electronic_025-036-050,872,0,1,227438,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_068-064-025,656,0,2,254499,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
brass_acoustic_046-062-050,414,1,0,72392,62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_015-036-100,316,3,0,96927,36,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100
mallet_acoustic_047-107-075,488,5,0,58572,107,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",75
reed_acoustic_023-094-075,224,7,0,81339,94,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",75
reed_acoustic_011-035-100,104,7,0,63555,35,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_electronic_028-040-100,510,3,1,118604,40,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100
organ_electronic_001-079-025,8,6,1,271027,79,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
brass_acoustic_015-073-025,121,1,0,96397,73,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
keyboard_electronic_003-066-127,65,4,1,241573,66,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_134-034-025,914,0,2,234528,34,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_135-024-075,927,0,2,240143,24,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
reed_acoustic_037-074-050,387,7,0,137028,74,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
brass_acoustic_046-078-075,414,1,0,86589,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_electronic_027-053-100,880,0,1,264009,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_synthetic_000-082-075,577,4,2,259132,82,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
brass_acoustic_059-036-075,572,1,0,85651,36,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",75
organ_electronic_104-037-075,921,6,1,188427,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
guitar_electronic_028-053-050,510,3,1,188449,53,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_104-072-025,921,6,1,296778,72,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_synthetic_000-081-127,577,4,2,244700,81,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",127
string_acoustic_012-055-100,97,8,0,68500,55,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
organ_electronic_104-059-025,921,6,1,201669,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
organ_electronic_007-087-050,123,6,1,292491,87,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",50
organ_electronic_007-046-050,123,6,1,246210,46,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
reed_acoustic_011-035-050,104,7,0,56825,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_030-062-127,642,3,0,185246,62,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",127
bass_synthetic_098-099-050,803,0,2,214474,99,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
vocal_synthetic_003-039-050,37,10,2,33970,39,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
mallet_acoustic_047-106-075,488,5,0,139637,106,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",75
reed_acoustic_018-053-100,183,7,0,41246,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_027-060-127,880,0,1,240911,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
mallet_acoustic_047-095-075,488,5,0,150940,95,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",75
bass_synthetic_033-105-127,417,0,2,266658,105,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
bass_synthetic_033-060-050,417,0,2,207339,60,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
keyboard_electronic_003-037-100,65,4,1,4920,37,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_033-061-127,417,0,2,150939,61,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
flute_synthetic_000-064-050,82,2,2,132225,64,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_056-117-025,590,5,0,126437,117,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",25
keyboard_electronic_001-087-075,40,4,1,218188,87,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_003-063-100,65,4,1,255243,63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_001-084-075,40,4,1,290553,84,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",75
keyboard_electronic_002-038-100,50,4,1,262331,38,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
brass_acoustic_006-083-025,43,1,0,58463,83,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_033-061-025,417,0,2,237494,61,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
mallet_acoustic_062-065-025,644,5,0,97080,65,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",25
bass_electronic_018-049-127,759,0,1,207929,49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_021-036-127,457,3,0,62480,36,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
keyboard_synthetic_000-034-100,577,4,2,300790,34,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",100
string_acoustic_080-028-127,675,8,0,61646,28,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",127
organ_electronic_057-078-050,701,6,1,179707,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_021-077-127,457,3,0,139563,77,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_014-100-050,263,3,0,141274,100,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",50
bass_synthetic_098-062-075,803,0,2,254342,62,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
bass_synthetic_034-063-025,420,0,2,188826,63,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",25
bass_synthetic_068-096-100,656,0,2,270235,96,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
bass_synthetic_135-094-075,927,0,2,234105,94,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
organ_electronic_028-050-075,440,6,1,63101,50,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_001-036-100,40,4,1,295818,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
keyboard_electronic_002-072-100,50,4,1,222981,72,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100
bass_synthetic_134-106-025,914,0,2,207235,106,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",25
reed_acoustic_018-060-100,183,7,0,53540,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_018-045-050,759,0,1,86420,45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
bass_synthetic_134-055-050,914,0,2,203513,55,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
string_acoustic_056-060-050,436,8,0,104395,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
guitar_electronic_022-088-100,378,3,1,260044,88,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_030-098-050,642,3,0,188426,98,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",50
keyboard_electronic_001-106-075,40,4,1,160963,106,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",75
guitar_electronic_028-056-075,510,3,1,164014,56,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",75
vocal_synthetic_003-059-127,37,10,2,19337,59,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
brass_acoustic_046-080-127,414,1,0,80371,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",127
mallet_acoustic_056-115-075,590,5,0,19795,115,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_069-051-127,805,4,1,240990,51,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",127
organ_electronic_057-080-100,701,6,1,259954,80,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
bass_electronic_018-052-025,759,0,1,227910,52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_002-079-025,50,4,1,33701,79,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",25
keyboard_electronic_069-079-075,805,4,1,261657,79,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",75
bass_electronic_018-046-050,759,0,1,156982,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_007-038-050,123,6,1,128,38,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
vocal_synthetic_003-045-127,37,10,2,57731,45,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0]",127
keyboard_electronic_098-083-127,905,4,1,242141,83,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",127
brass_acoustic_015-068-100,121,1,0,52980,68,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
organ_electronic_007-037-025,123,6,1,12911,37,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",25
string_acoustic_014-044-075,100,8,0,49820,44,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",75
organ_electronic_057-025-025,701,6,1,301223,25,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_014-084-050,263,3,0,68868,84,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
guitar_acoustic_015-086-100,316,3,0,88871,86,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",100
keyboard_electronic_078-033-100,838,4,1,304422,33,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
guitar_acoustic_015-037-050,316,3,0,82855,37,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
reed_acoustic_023-089-100,224,7,0,82562,89,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100
flute_synthetic_000-092-050,82,2,2,75481,92,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
mallet_acoustic_047-089-127,488,5,0,50929,89,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]",127
organ_electronic_001-061-127,8,6,1,92539,61,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",127
guitar_acoustic_014-101-100,263,3,0,178331,101,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",100
string_acoustic_071-025-025,609,8,0,81002,25,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",25
brass_acoustic_015-060-050,121,1,0,62983,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",50
guitar_acoustic_014-040-100,263,3,0,92555,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100
reed_acoustic_023-065-100,224,7,0,73440,65,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",100
keyboard_synthetic_000-103-075,577,4,2,222417,103,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0]",75
guitar_acoustic_010-108-025,219,3,0,141981,108,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
keyboard_synthetic_000-080-075,577,4,2,292763,80,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]",75
flute_synthetic_000-024-025,82,2,2,59521,24,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_014-066-025,263,3,0,188574,66,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25
bass_synthetic_009-022-075,150,0,2,267554,22,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",75
brass_acoustic_006-042-127,43,1,0,84907,42,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
brass_acoustic_059-056-100,572,1,0,40254,56,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
brass_acoustic_006-082-100,43,1,0,56118,82,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100
keyboard_electronic_098-103-127,905,4,1,212860,103,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",127
flute_acoustic_002-088-025,86,2,0,99406,88,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_068-085-050,656,0,2,271488,85,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",50
keyboard_acoustic_004-036-025,327,4,0,147415,36,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25
bass_synthetic_135-056-050,927,0,2,270245,56,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",50
organ_electronic_113-029-050,958,6,1,19270,29,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50
brass_acoustic_006-039-127,43,1,0,23791,39,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",127
bass_synthetic_134-027-075,914,0,2,20611,27,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",75
bass_synthetic_033-021-025,417,0,2,271989,21,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25
guitar_acoustic_021-088-025,457,3,0,114408,88,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",25
keyboard_acoustic_004-085-050,327,4,0,287686,85,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50
organ_electronic_104-061-075,921,6,1,288566,61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75
keyboard_electronic_098-035-100,905,4,1,131420,35,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",100
vocal_synthetic_003-057-050,37,10,2,40314,57,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0]",50
